Clinic Name,URL,Street Address,Phone,Error
Collinsville Multipurpose Health Service,https://www.mackay.health.qld.gov.au/your-hospitals/collinsville-hospital,act us Collinsville Hospital P (07) 4785 4777 F (07) 4785 4799 Address 81-91 Garrick Street Collinsville QLD 4804 Mail PO Box 56 Collinsville QLD 4808,"4785 4777, 4785 4799",
Cooinda House,https://metronorth.health.qld.gov.au/community/locations/cooinda-house,KIPPA-RING QLD 4021,000,
Cooktown Multipurpose Health Service,https://www.torres-cape.health.qld.gov.au/hospitals-and-health-centres/cooktown-multipurpose-health-service,"48 Hope St
Cooktown Qld 4895 | 48 Hope St
Cooktown Qld 4895","07 4043 0100, 07 4043 0100, 07 4043 0106",
Corinda Community Health Centre,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/corinda-community-health-centre,"2 Clara Street, Corinda Qld 4075",07 3710 2201,
Cow Bay Primary Health Centre,https://www.cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/cow-bay-primary-health-centre,"69 Tea Tree Road
Diwan QLD 4873 | 69 Tea Tree Road
Diwan QLD 4873",07 4098 9296,
Croydon Primary Health Centre,https://www.cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/croydon-primary-health-centre,"Sircom Street 
Croydon QLD 4871 | Sircom Street 
Croydon QLD 4871",07 4748 7000,
Cunnamulla Multipurpose Health Service,https://www.southwest.health.qld.gov.au/hospitals-and-health-centres/cunnamulla-multipurpose-health-service,"56 Wicks St
Cunnamulla Qld 4490 | 56 Wicks St
Cunnamulla Qld 4490",07 4655 8100,
Dajarra Primary Health Clinic,https://www.northwest.health.qld.gov.au/our-facilities/dajarra/,"rra Primary Health Clinic General enquiries between 9am to 5pm, please call: (07) 4748 4880 In an emergency call: 000 12 Matheson St, Dajarra QLD 4825",4748 4880,
Dalby Hospital,https://www.darlingdowns.health.qld.gov.au/hospitals-and-health-centres/dalby-hospital,"Hospital Rd
Dalby Qld 4405 | Hospital Rd
Dalby Qld 4405",07 4669 0555,
Darling Downs Community Care Unit,https://www.darlingdowns.health.qld.gov.au/hospitals-and-health-centres/darling-downs-community-care-unit,"346 Spring St
Kearney Springs Qld 4350 | 346 Spring St
Kearney Springs Qld 4350","07 4529 3600, 13 12 30.",
Dauan Island Primary Health Care Centre,https://www.torres-cape.health.qld.gov.au/hospitals-and-health-centres/dauan-primary-health-care-centre,"Lot 16 
Dauan Island Qld 4875 | Lot 16 
Dauan Island Qld 4875",07 4069 0310,
Dirranbandi Multipurpose Health Service,https://www.southwest.health.qld.gov.au/hospitals-and-health-centres/dirranbandi-multipurpose-health-service,"Corner of Jane St and Crothers St
Dirranbandi Qld 4486 | Corner of Jane St and Crothers St
Dirranbandi Qld 4486",07 4625 8222,
Dimbulah Primary Health Centre,https://www.cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/dimbulah-primary-health-centre,"1 –5 Stephens Street
Dimbulah QLD 4872 | 1 –5 Stephens Street
Dimbulah QLD 4872",07 4094 5000,
Doomadgee Hospital and Community Health Centre,https://www.northwest.health.qld.gov.au/our-facilities/doomadgee/,"d Community Health Centre General enquiries between 9am to 5pm, please call: (07) 4745 8800 In an emergency call: 000 19 Sharpe St, Doomadgee QLD 4830",4745 8800,
Dunwich (Marie Rose Centre),https://metrosouth.health.qld.gov.au/marie-rose-centre,"36 Oxley Parade, Dunwich Qld 4183","07 3488 4911, 07 3488 4946",
Dysart Hospital,https://www.mackay.health.qld.gov.au/your-hospitals/dysart-hospital,022 Print Contact us Dysart Hospital P (07) 4941 1911 F (07) 4941 1931 Address 28 Queen Elizabeth Drive Dysart QLD 4745 Mail PO Box 42 Dysart QLD 4745,"4941 1911, 4941 1931",
Edmonton Community Health Centre,https://www.cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/edmonton-community-health-centre,"10-12 Robert Road 
Bentley Park QLD 4869 | 10-12 Robert Road 
Bentley Park QLD 4869",07 4226 4900,
Eidsvold Multipurpose Health Service,https://www.widebay.health.qld.gov.au/hospitals-and-health-centres/eidsvold-multipurpose-health-service,"Eidsvold Theodore Rd
Eidsvold Qld 4627 | Eidsvold Theodore Rd
Eidsvold Qld 4627",07 4165 7100,
Eight Mile Plains Community Health Centre,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/eight-mile-plains-community-health-centre,"51 McKechnie Drive, Brisbane Technology Park, Eight Mile Plains Qld 4113",07 3156 9400,
Eight Mile Plains Satellite Hospital (Maroo-goodji-ba),https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/eight-mile-plains-satellite-hospital,"59 Levington Road, Eight Mile Plains Qld 4113",07 3340 7777,"HTTPSConnectionPool(host='www.metrosouth.health.qld.gov.au', port=443): Read timed out. (read timeout=10)"
Ellen Barron Family Centre,https://www.childrens.health.qld.gov.au/services/locations/ellen-barron-family-centre,health.qld.gov.auContact UsSearchMenu | health.qld.gov.auContact UsSearchMenu | health.qld.gov.au,"31396500, 3139 6500, 07 3139 6500, 07 3139 6555",
Emerald Hospital,https://www.cq.health.qld.gov.au/hospitals-and-health-centres/emerald-hospital,"69 Hospital Rd
Emerald Qld 4720 | 69 Hospital Rd
Emerald Qld 4720",07 4987 9400,
Erub (Darnley Island) Primary Health Care Centre,https://www.torres-cape.health.qld.gov.au/hospitals-and-health-centres/erub-darnley-island-primary-health-care-centre,"Lot 64 The Esplanade
Erub Island Qld 4875 | Lot 64 The Esplanade
Erub Island Qld 4875",07 4090 1500,
Esk Hospital,https://www.westmoreton.health.qld.gov.au/location/esk-health,d services at West Moreton Health. Phone 07 5424 4600 Hospital address 30 Highland Street Esk QLD 4312 Australia Postal Address PO Box 47 Esk QLD 4312,3810 1111,
Forsayth Primary Health Centre,https://www.cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/forsayth-primary-health-centre,"21 Fourth Street 
Forsayth QLD 4871 | 21 Fourth Street 
Forsayth QLD 4871",07 4062 5372,
Gadoira / Seisia Primary Health Care Centre,https://www.torres-cape.health.qld.gov.au/hospitals-and-health-centres/gaidora-seisia-primary-health-care-centre,"100 Mugai St
Seisia Qld 4876 | 100 Mugai St
Seisia Qld 4876",07 4069 3271,
Gailes Community Care Unit,https://www.westmoreton.health.qld.gov.au/location/gailes-community-care-unit,3 3600 Email WM_MHSS_CCU@health.qld.gov.au Hospital address 6A Baker Street Gailes QLD 4300 Australia Postal Address 54 Old Logan Road Gailes QLD 4300,"07 3183 3600, 3810 1111",
Gatton Hospital,https://www.westmoreton.health.qld.gov.au/location/gatton-health,at West Moreton Health. Phone 07 5468 4188 Hospital address 97-103 William Street Gatton QLD 4343 Australia Postal Address PO Box 167 Gatton QLD 4343,3810 1111,
Gayndah Hospital,https://www.widebay.health.qld.gov.au/hospitals-and-health-centres/gayndah-hospital,"69 Warton St
Gayndah Qld 4625 | 69 Warton St
Gayndah Qld 4625",07 4161 3500,
Georgetown Primary Health Centre,https://www.cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/georgetown-primary-health-centre,"High Street
Georgetown QLD 4871 | High Street
Georgetown QLD 4871",07 4062 1266,
Gin Gin Hospital,https://www.widebay.health.qld.gov.au/hospitals-and-health-centres/gin-gin-hospital,"5 King St
Gin Gin Qld 4671 | 5 King St
Gin Gin Qld 4671",07 4157 2222,
Gladstone Hospital,https://www.cq.health.qld.gov.au/hospitals-and-health-centres/gladstone-hospital,"Park St
Gladstone Qld 4680 | Park St
Gladstone Qld 4680","07 4976 3200, 131 008",
Glenbrook Residential Aged Care Nambour,https://www.sunshinecoast.health.qld.gov.au/hospitals-and-health-centres/glenbrook-residential-aged-care-facility,"4 Jack St
Nambour Qld 4560 | 4 Jack St
Nambour Qld 4560","07 5459 7700, 13 12 30, 13 12 30",
Glenden Community Health Centre,https://www.mackay.health.qld.gov.au/your-hospitals/glenden-primary-health-care-centre,"July 17, 2019 Print Contact Us Glenden Primary Health Care Centre P (07) 4958 9821 Address Bell Place Glenden QLD 4743 Mail PO Box 50 Glenden QLD 4743","4941 4750, 4958 9821",
Gold Coast University Hospital,https://www.goldcoast.health.qld.gov.au/hospitals-and-centres/gold-coast-university-hospital,"goldcoast.health.qld.gov.auHomeRefer Your PatientSite headerSite mapContact UsHelpSite navigationMenu Block : Main Navigation MenuPatients and visitorsComing to hospitalYour time in hospitalLeaving hospitalSupport servicesYour rights and responsibilitiesReferrals and bookingsAsk Me about Health LiteracyHospitals and centresGold Coast University HospitalRobina HospitalTugun Satellite HospitalVarsity Lakes Day HospitalRobina Health PrecinctSouthport Health PrecinctHelensvale Community Health CentrePalm Beach Community Health CentreResearchFor ResearchersClinical TrialsFor patients and familiesFor collaboratives and partnersFor sponsors and industryOur research profileContact UsResearch eventsResearch newsOur servicesA - Z ListingCare and SupportEmergency and TraumaMedical and SurgicalAboriginal & Torres Strait Islander serviceVideo ConsultationsChildren's ServicesImmunisationWomen's and MaternityMental HealthOral HealthPublic HealthSexual HealthGet involvedCompliments and complaintsParticipate in an online consultationCommunity and consumer engagementCreative Health HubVolunteeringGold Coast Hospital FoundationJoin our teamCareer opportunitiesRecruitmentEmployee benefitsLiving on the Gold CoastOur cultureAbout usStructureStrategy and plansBoardExecutive teamPerformancePublicationsNewsRight to informationPublic interest disclosureInitiativesHealth professionalsHealthPathwaysRefer Your PatientFor nurses and midwivesConference, Training and Event ServiceCOVID-19Menu Block : Hamburger MenuPatients and visitorsComing to hospitalYour outpatient appointmentWhat to bringPre-admission clinicStaying overnight (inpatients)Emergency departmentsMobility assistanceConcessional ParkingYour time in hospitalOur commitment to caring for youMealsMedicationsSafety, security and personal propertyTechnologyMedical records and confidentialityInfection controlSmokingLeaving hospitalPatient pick up and drop offDischargeSupport servicesAboriginal and Torres Strait Islander HealthInterpreter servicesTravel assistanceOrgan donationSpiritual careLost propertyCare after deathHealthier YouYour rights and responsibilities10 tips for safer healthcareAustralian Charter of Healthcare RightsRyan's RuleClinical handoverShared decision makingReferrals and bookingsEligibilityHow to get a referralPrivate health insuranceAsk Me about Health LiteracyHospitals and centresGold Coast University HospitalOverviewOur servicesParkingGetting hereGetting aroundVisiting hoursShops and cafesRobina HospitalOverviewOur servicesGetting hereParkingVisiting hoursTugun Satellite HospitalVarsity Lakes Day HospitalGetting hereParkingOur servicesRobina Health PrecinctGetting hereParkingSouthport Health PrecinctGetting hereParkingHelensvale Community Health CentreOur servicesPalm Beach Community Health CentreOur servicesResearchFor ResearchersOur GrantsApplying, accepting and managing grantsEthics and GovernanceBiostatistics ServiceLibrary ServiceForms and templatesClinical TrialsFor patients and familiesFor collaboratives and partnersFor sponsors and industryOur research profileContact UsResearch eventsResearch newsOur servicesA - Z ListingCare and SupportEmergency and TraumaMedical and SurgicalAboriginal & Torres Strait Islander serviceVideo ConsultationsFrequently Asked QuestionsChildren's ServicesServices ProvidedChild Development ServiceAbout the ServiceAbout our clinicsLocation and travel informationMeet Our TeamWhile you wait for your appointmentChecklistFor Children Under SixFor Children Over SixServices, Emergency Contacts and ResourcesEmergency Phone NumbersHow to find a private therapistResourcesUniversity Clinics Providing Services to FamiliesUseful programs to considerChild and Youth Mental HealthAbout Child and Youth Mental Health ServiceOur servicesReferrals and accessing careSupport for families and carersSupport in a crisis or emergencyChildren’s Hospital in the HomeCommunity Child HealthSpeak With Me!Getting StartedGeneral Strategies to Support Your Child’s Speech DevelopmentPracticing speech soundsp and b soundst and d soundsk and g soundsf and v soundss and z soundss clusterssh soundch and j soundsl soundr soundth soundAdditional Resources and Useful WebsitesTalk With Me!Early Language StrategiesGetting StartedFoundation SkillsGetting face to faceLetting your child leadCommunication TemptationsModelling LanguageDecreasing questionsEveryday RoutinesUsing language strategies in everyday routinesShared book readingSongsPlayUsing Visual HelpersUsing Visual HelpersUsing GesturesUsing Visual SchedulesFinal ReflectionChildren’s EmergencyImmunisationFree Community Immunisation ClinicsVaccine Price ListChildhood Immunisation ProgramSchool immunisation programsPregnancy immunisation programCatch-up immunisationInfluenzaMeningococcal DiseaseImmunisation recordsCOVID-19 VaccinationWomen's and MaternityCOVID-19 in PregnancyEndometriosis and Pelvic Pain Interdisciplinary Clinical Services (EPPICS)Total Laparoscopic HysterectomyFrequently Asked QuestionsRisks of Laparoscopic Hysterectomy SurgeryServices providedFeeding babies for women isolated and quarantinedPregnancy (antenatal) careGP shared careBirthing optionsPostnatal careFact sheets and resourcesFrequently asked questionsMental HealthMental Health ServicesSecure Mental Health Rehabilitation UnitOral HealthOral Health eligibilityAppointment informationLift the Lip ProgramKeep Your Smile ProgramPublic HealthCommunicable disease controlEnvironmental health hazardsPublic Health Research and TrainingEpidemiology and DataFood safety and standardsHealth promotionImmunisationMedicines, therapeutics and poisonsPublic health incident managementTobacco regulationWater quality and fluoridationBody Worn Cameras in use by Public Health Authorised OfficersSexual HealthSexual Health ServicesFact sheets and resourcesHIV Prophylaxis and TestingTelling Partners (Partner notification)Frequently Asked Questions (FAQs)Information for Health ProfessionalsResearch and Clinical TrialsGet involvedCompliments and complaintsParticipate in an online consultationCommunity and consumer engagementAlways Care Consumer NetworkConsumer Advisory Group (CAG)Creative Health HubArtbeatVolunteeringGold Coast Hospital FoundationJoin our teamCareer opportunitiesNursing and midwiferyEducation programsMedicalInternsAllied healthClinical SupportNon-Clinical SupportNon-Clinical Internship ProgramResearchExecutive Director Nursing and Midwifery and Patient ExperienceRecruitmentInternational RecruitmentTalent PoolsHow we recruitDiversity and inclusionEmployee benefitsLiving on the Gold CoastOur cultureAbout usStructureStrategy and plansBoardExecutive teamPerformanceOutpatient appointment waiting listsElective surgery waiting listsPublicationsAnnual ReportLocal Area Needs AssessmentOther ReportsNewsRight to informationPrivacyAccessing your medical recordPublication schemeAccessing informationRegister of gifts and benefitsCourt documents and subpoenasPublic interest disclosureInitiativesBuilding for the FutureCoomera HospitalTugun Satellite HospitalGold Coast Secure Mental Health Rehabilitation UnitAccelerated Infrastructure Delivery Program (AIDP)Gold Coast University Hospital Sub-Acute ExpansionRobina ED ExpansionMagnet Recognition®Health professionalsHealthPathwaysRefer Your PatientFor nurses and midwivesAdvanced practiceInnovationConference, Training and Event ServiceCOVID-19Gold Coast University Hospital1 Hospital Blvd1300 744 284ParkingGetting here and aroundVisiting HoursA-Z ServicesMenu Block : Left Sidebar MenuGold Coast University HospitalOverviewOur servicesParkingGetting hereGetting aroundVisiting hoursShops and cafesRobina HospitalOverviewOur servicesGetting hereParkingVisiting hoursTugun Satellite HospitalVarsity Lakes Day HospitalGetting hereParkingOur servicesRobina Health PrecinctGetting hereParkingSouthport Health PrecinctGetting hereParkingHelensvale Community Health CentreOur servicesPalm Beach Community Health CentreOur servicesBreadcrumbHomeHospitals and CentresGold Coast University HospitalWe’re located on the corner of Parklands Drive and Olsen Avenue in Southport and provide public health services for the Gold Coast and wider community.As one of Queensland’s largest clinical teaching and research facilities, we have seven main buildings and a total floor space of about 170,000 square metres.Our emergency department continues to be one of the busiest in Queensland.The facility’s design is efficient and allows for expansion to meet the growing health needs of the Gold Coast, one of the fastest growing regions in Australia.Key service categories atGold Coast University HospitalCare and SupportEmergency and TraumaMedical and SurgicalChildren's ServicesWomen's and MaternityMental HealthOral HealthView A - Z service listFinding your way at GCUHView videoLocation and mapAddress1 Hospital Blvd, Southport, QLD, 42151300 744 284Hospital mapEmergency Care (24 Hours)Emergency InformationLast updated 05 Oct 2022 | goldcoast.health.qld.gov.auHomeRefer Your Patient | goldcoast.health.qld.gov.auHomeRefer Your Patient | goldcoast.health.qld.gov.au | goldcoast.health.qld.gov.au | Finding your way at GCUHView videoLocation and mapAddress1 Hospital Blvd, Southport, QLD, 42151300 744 284Hospital mapEmergency Care (24 Hours)Emergency Information | Finding your way at GCUHView videoLocation and mapAddress1 Hospital Blvd, Southport, QLD, 42151300 744 284Hospital mapEmergency Care (24 Hours)Emergency Information | Location and mapAddress1 Hospital Blvd, Southport, QLD, 42151300 744 284Hospital map | Address1 Hospital Blvd, Southport, QLD, 42151300 744 284Hospital map | Address1 Hospital Blvd, Southport, QLD, 42151300 744 284Hospital map | Address1 Hospital Blvd, Southport, QLD, 42151300 744 284Hospital map | 1 Hospital Blvd, Southport, QLD, 42151300 744 284","
 1300 744 284, 
1300 744 284, 1300 744 284",
Goodna Community Health,https://www.westmoreton.health.qld.gov.au/location/goodna-community-health,rvices at West Moreton Health. Phone 07 3818 4800 Hospital address 81 Queen Street Goodna QLD 4300 Australia Postal Address PO Box 188 Goodna QLD 4300,"07 3818 4800, 3810 1111",
Goondiwindi Hospital,https://www.darlingdowns.health.qld.gov.au/hospitals-and-health-centres/goondiwindi-hospital,"4-18 Bowen St
Goondiwindi Qld 4390 | 4-18 Bowen St
Goondiwindi Qld 4390",07 4578 2400,
Gordonvale Hospital,https://cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/gordonvale-hospital,"1 – 11 Highleigh Road 
Gordonvale QLD 4865 | 1 – 11 Highleigh Road 
Gordonvale QLD 4865",07 4043 3100,
Gympie Hospital,https://www.sunshinecoast.health.qld.gov.au/hospitals-and-health-centres/gympie-hospital,"12 Henry St
Gympie Qld 4570 | 12 Henry St
Gympie Qld 4570","07 5489 8444, 07 5489 8444, 07 5489 8444, 131 008",
Halwyn Centre,https://metronorth.health.qld.gov.au/community/locations/halwyn-centre,RED HILL QLD 4059,000,
Helensvale Community Health Centre,https://www.goldcoast.health.qld.gov.au/hospitals-and-centres/helensvale-community-health-centre,"goldcoast.health.qld.gov.auHomeRefer Your PatientSite headerSite mapContact UsHelpSite navigationMenu Block : Main Navigation MenuPatients and visitorsComing to hospitalYour time in hospitalLeaving hospitalSupport servicesYour rights and responsibilitiesReferrals and bookingsAsk Me about Health LiteracyHospitals and centresGold Coast University HospitalRobina HospitalTugun Satellite HospitalVarsity Lakes Day HospitalRobina Health PrecinctSouthport Health PrecinctHelensvale Community Health CentrePalm Beach Community Health CentreResearchFor ResearchersClinical TrialsFor patients and familiesFor collaboratives and partnersFor sponsors and industryOur research profileContact UsResearch eventsResearch newsOur servicesA - Z ListingCare and SupportEmergency and TraumaMedical and SurgicalAboriginal & Torres Strait Islander serviceVideo ConsultationsChildren's ServicesImmunisationWomen's and MaternityMental HealthOral HealthPublic HealthSexual HealthGet involvedCompliments and complaintsParticipate in an online consultationCommunity and consumer engagementCreative Health HubVolunteeringGold Coast Hospital FoundationJoin our teamCareer opportunitiesRecruitmentEmployee benefitsLiving on the Gold CoastOur cultureAbout usStructureStrategy and plansBoardExecutive teamPerformancePublicationsNewsRight to informationPublic interest disclosureInitiativesHealth professionalsHealthPathwaysRefer Your PatientFor nurses and midwivesConference, Training and Event ServiceCOVID-19Menu Block : Hamburger MenuPatients and visitorsComing to hospitalYour outpatient appointmentWhat to bringPre-admission clinicStaying overnight (inpatients)Emergency departmentsMobility assistanceConcessional ParkingYour time in hospitalOur commitment to caring for youMealsMedicationsSafety, security and personal propertyTechnologyMedical records and confidentialityInfection controlSmokingLeaving hospitalPatient pick up and drop offDischargeSupport servicesAboriginal and Torres Strait Islander HealthInterpreter servicesTravel assistanceOrgan donationSpiritual careLost propertyCare after deathHealthier YouYour rights and responsibilities10 tips for safer healthcareAustralian Charter of Healthcare RightsRyan's RuleClinical handoverShared decision makingReferrals and bookingsEligibilityHow to get a referralPrivate health insuranceAsk Me about Health LiteracyHospitals and centresGold Coast University HospitalOverviewOur servicesParkingGetting hereGetting aroundVisiting hoursShops and cafesRobina HospitalOverviewOur servicesGetting hereParkingVisiting hoursTugun Satellite HospitalVarsity Lakes Day HospitalGetting hereParkingOur servicesRobina Health PrecinctGetting hereParkingSouthport Health PrecinctGetting hereParkingHelensvale Community Health CentreOur servicesPalm Beach Community Health CentreOur servicesResearchFor ResearchersOur GrantsApplying, accepting and managing grantsEthics and GovernanceBiostatistics ServiceLibrary ServiceForms and templatesClinical TrialsFor patients and familiesFor collaboratives and partnersFor sponsors and industryOur research profileContact UsResearch eventsResearch newsOur servicesA - Z ListingCare and SupportEmergency and TraumaMedical and SurgicalAboriginal & Torres Strait Islander serviceVideo ConsultationsFrequently Asked QuestionsChildren's ServicesServices ProvidedChild Development ServiceAbout the ServiceAbout our clinicsLocation and travel informationMeet Our TeamWhile you wait for your appointmentChecklistFor Children Under SixFor Children Over SixServices, Emergency Contacts and ResourcesEmergency Phone NumbersHow to find a private therapistResourcesUniversity Clinics Providing Services to FamiliesUseful programs to considerChild and Youth Mental HealthAbout Child and Youth Mental Health ServiceOur servicesReferrals and accessing careSupport for families and carersSupport in a crisis or emergencyChildren’s Hospital in the HomeCommunity Child HealthSpeak With Me!Getting StartedGeneral Strategies to Support Your Child’s Speech DevelopmentPracticing speech soundsp and b soundst and d soundsk and g soundsf and v soundss and z soundss clusterssh soundch and j soundsl soundr soundth soundAdditional Resources and Useful WebsitesTalk With Me!Early Language StrategiesGetting StartedFoundation SkillsGetting face to faceLetting your child leadCommunication TemptationsModelling LanguageDecreasing questionsEveryday RoutinesUsing language strategies in everyday routinesShared book readingSongsPlayUsing Visual HelpersUsing Visual HelpersUsing GesturesUsing Visual SchedulesFinal ReflectionChildren’s EmergencyImmunisationFree Community Immunisation ClinicsVaccine Price ListChildhood Immunisation ProgramSchool immunisation programsPregnancy immunisation programCatch-up immunisationInfluenzaMeningococcal DiseaseImmunisation recordsCOVID-19 VaccinationWomen's and MaternityCOVID-19 in PregnancyEndometriosis and Pelvic Pain Interdisciplinary Clinical Services (EPPICS)Total Laparoscopic HysterectomyFrequently Asked QuestionsRisks of Laparoscopic Hysterectomy SurgeryServices providedFeeding babies for women isolated and quarantinedPregnancy (antenatal) careGP shared careBirthing optionsPostnatal careFact sheets and resourcesFrequently asked questionsMental HealthMental Health ServicesSecure Mental Health Rehabilitation UnitOral HealthOral Health eligibilityAppointment informationLift the Lip ProgramKeep Your Smile ProgramPublic HealthCommunicable disease controlEnvironmental health hazardsPublic Health Research and TrainingEpidemiology and DataFood safety and standardsHealth promotionImmunisationMedicines, therapeutics and poisonsPublic health incident managementTobacco regulationWater quality and fluoridationBody Worn Cameras in use by Public Health Authorised OfficersSexual HealthSexual Health ServicesFact sheets and resourcesHIV Prophylaxis and TestingTelling Partners (Partner notification)Frequently Asked Questions (FAQs)Information for Health ProfessionalsResearch and Clinical TrialsGet involvedCompliments and complaintsParticipate in an online consultationCommunity and consumer engagementAlways Care Consumer NetworkConsumer Advisory Group (CAG)Creative Health HubArtbeatVolunteeringGold Coast Hospital FoundationJoin our teamCareer opportunitiesNursing and midwiferyEducation programsMedicalInternsAllied healthClinical SupportNon-Clinical SupportNon-Clinical Internship ProgramResearchExecutive Director Nursing and Midwifery and Patient ExperienceRecruitmentInternational RecruitmentTalent PoolsHow we recruitDiversity and inclusionEmployee benefitsLiving on the Gold CoastOur cultureAbout usStructureStrategy and plansBoardExecutive teamPerformanceOutpatient appointment waiting listsElective surgery waiting listsPublicationsAnnual ReportLocal Area Needs AssessmentOther ReportsNewsRight to informationPrivacyAccessing your medical recordPublication schemeAccessing informationRegister of gifts and benefitsCourt documents and subpoenasPublic interest disclosureInitiativesBuilding for the FutureCoomera HospitalTugun Satellite HospitalGold Coast Secure Mental Health Rehabilitation UnitAccelerated Infrastructure Delivery Program (AIDP)Gold Coast University Hospital Sub-Acute ExpansionRobina ED ExpansionMagnet Recognition®Health professionalsHealthPathwaysRefer Your PatientFor nurses and midwivesAdvanced practiceInnovationConference, Training and Event ServiceCOVID-19Helensvale Community Health Centre105 Lindfield Rd(07) 5580 7800Menu Block : Left Sidebar MenuGold Coast University HospitalOverviewOur servicesParkingGetting hereGetting aroundVisiting hoursShops and cafesRobina HospitalOverviewOur servicesGetting hereParkingVisiting hoursTugun Satellite HospitalVarsity Lakes Day HospitalGetting hereParkingOur servicesRobina Health PrecinctGetting hereParkingSouthport Health PrecinctGetting hereParkingHelensvale Community Health CentreOur servicesPalm Beach Community Health CentreOur servicesBreadcrumbHomeHospitals and CentresHelensvale Community Health CentreHelensvale Community Health Centre is located at 105 Lindfield Rd, Helensvale, 4212.Our facility provides multidisciplinary programs for a range of chronic and complex conditions, and Child Youth and Family Health services.ParkingOnsite parking, including parking for disabled, is available under and in front of the building.Public transportRegular bus and train services provided byTransLink. The Health Centre is located a ten minute walk from Helensvale Train Station.View our servicesLocation and mapAddress105 Lindfield Rd, Helensvale, QLD, 4212(07) 5580 7800Last updated 23 Mar 2021 | goldcoast.health.qld.gov.auHomeRefer Your Patient | goldcoast.health.qld.gov.auHomeRefer Your Patient | goldcoast.health.qld.gov.au | goldcoast.health.qld.gov.au | Location and mapAddress105 Lindfield Rd, Helensvale, QLD, 4212(07) 5580 7800 | Location and mapAddress105 Lindfield Rd, Helensvale, QLD, 4212(07) 5580 7800 | Location and mapAddress105 Lindfield Rd, Helensvale, QLD, 4212(07) 5580 7800 | Address105 Lindfield Rd, Helensvale, QLD, 4212(07) 5580 7800 | Address105 Lindfield Rd, Helensvale, QLD, 4212(07) 5580 7800 | Address105 Lindfield Rd, Helensvale, QLD, 4212(07) 5580 7800 | 105 Lindfield Rd, Helensvale, QLD, 4212(07) 5580 7800",(07) 5580 7800,
Herberton Hospital,https://cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/herberton-hospital,"23 Grace Street
Herberton QLD 4887 | 23 Grace Street
Herberton QLD 4887",07 4096 1000,
Hervey Bay Hospital,https://www.widebay.health.qld.gov.au/hospitals-and-health-centres/hervey-bay-hospital,"Cnr Nissen St and Urraween Rd, Pialba Qld 4655 | Cnr Nissen St and Urraween Rd, Pialba Qld 4655",07 4325 6666,
Home Hill Hospital,https://www.townsville.health.qld.gov.au/facilities/home-hill-health-service/,"el Subsidy Scheme here . Parking Street parking is available. Contact Us Tenth Avenue, Home Hill, QLD 4806 Postal Address PO Box 53 Home Hill QLD 4806",4790 5799,
Hope Vale Primary Health Care Centre,https://www.torres-cape.health.qld.gov.au/hospitals-and-health-centres/hope-vale-primary-health-care-centre,"Aerodrome Rd
Hope Vale Qld 4895 | Aerodrome Rd
Hope Vale Qld 4895",07 4083 8100,
Hughenden Multipurpose Health Service,https://www.townsville.health.qld.gov.au/facilities/hughenden-multipurpose-health-service/,r non-urgent health advice call 13 HEALTH (13 43 25 84) Contact Us Richmond Hill Drive Hughenden QLD 4821 Postal Address PO Box 228 Hughenden QLD 4821,4741 1617,
Iama (Yam Island) Primary Health Care Centre,https://www.torres-cape.health.qld.gov.au/hospitals-and-health-centres/iama-yam-island-primary-health-care-centre,"Lot 13 Garth Lane
Iama Island Qld 4875 | Lot 13 Garth Lane
Iama Island Qld 4875",07 4090 1000,
Inala Community Health Centre,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/inala-community-health-centre,"64 Wirraway Parade, Inala Qld 4077","07 3275 5333, 07 3372 7323",
Ingham Health Services,https://www.townsville.health.qld.gov.au/facilities/ingham-health-service/,000. For non-urgent health advice call 13 HEALTH (13 43 25 84) Contact Us McIlwraith Street Ingham Qld 4850 Postal Address PO Box 367 Ingham QLD 4850,4720 3001,
Inglewood Multipurpose Health Service,https://www.darlingdowns.health.qld.gov.au/hospitals-and-health-centres/inglewood-multipurpose-health-service,"24606 Cunningham Hwy
Inglewood Qld 4387 | 24606 Cunningham Hwy
Inglewood Qld 4387",07 4652 0888,
Injune Multipurpose Health Service,https://www.southwest.health.qld.gov.au/hospitals-and-health-centres/injune-multipurpose-health-service,"Fifth Av
Injune Qld 4454 | Fifth Av
Injune Qld 4454",07 4626 1188,
Innisfail Hospital,https://cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/innisfail-hospital,"87 Rankin Street
Innisfail QLD 4860 | 87 Rankin Street
Innisfail QLD 4860",07 4016 1411,
